gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
163990634																																																											UGENT	nematodes			PreservedSpecimen					101146																																																																																																																												Tylenchorhynchus dubius								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Tylenchorhynchus		dubius									
163990653																																																											UGENT	nematodes			PreservedSpecimen					101191																																																																																																																												Tylenchorhynchus lamelliferus								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Tylenchorhynchus		lamelliferus									
163990682																																																											UGENT	nematodes			PreservedSpecimen					101279																															1962-01-18																																																																																													Tylenchus agricola								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Tylenchus		agricola									
163990687																																																											UGENT	nematodes			PreservedSpecimen					101289																															1962-05-21																																																																																													Tylenchus costatus								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Tylenchus		costatus									
163990717																																																											UGENT	nematodes			PreservedSpecimen					101357																																																																																																																												Tylenchus agricola								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Tylenchus		agricola									
163990759																																																											UGENT	nematodes			PreservedSpecimen					101424																																																																																																																												Tylenchorhynchus dubius								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Tylenchorhynchus		dubius									
163990778																																																											UGENT	nematodes			PreservedSpecimen					101468																																																																																																																												Pratylenchus penetrans								Animalia	Nemata	Chromadorea	Rhabditida	Pratylenchidae	Pratylenchus		penetrans									
163990788																																																											UGENT	nematodes			PreservedSpecimen					101500																																																																																																																												Rhadinaphelenchus cocophilus								Animalia	Nemata	Chromadorea	Rhabditida	Aphelenchoididae	Rhadinaphelenchus		cocophilus									
163990789																																																											UGENT	nematodes			PreservedSpecimen					101505																															1962-03-02																																																																																													Trichodorus pachydermus								Animalia	Nemata	Enoplea	Triplonchida	Trichodoridae	Trichodorus		pachydermus									
163990815																																																											UGENT	nematodes			PreservedSpecimen					101561																															1962-03-22																																																																																													Pungentus silvestris								Animalia	Nemata	Enoplea	Dorylaimida	Nordiidae	Pungentus		silvestris									
163990819																																																											UGENT	nematodes			PreservedSpecimen					101569																															1962-03-30																																																																																													Tylenchus costatus								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Tylenchus		costatus									
163990849																																																											UGENT	nematodes			PreservedSpecimen					101637																															1962-04-25																																																																																													Pratylenchus crenatus								Animalia	Nemata	Chromadorea	Rhabditida	Pratylenchidae	Pratylenchus		crenatus									
163991019																																																											UGENT	nematodes			PreservedSpecimen					101912																															1963-01-07																																																																																													Rotylenchus uniformis								Animalia	Nemata	Chromadorea	Rhabditida	Hoplolaimidae	Rotylenchus		uniformis									
163991021																																																											UGENT	nematodes			PreservedSpecimen					101914																															1963-01-07																																																																																													Tylenchorhynchus dubius								Animalia	Nemata	Chromadorea	Rhabditida	Belonolaimidae	Tylenchorhynchus		dubius									
163991057																																																											UGENT	nematodes			PreservedSpecimen					101966																															1963-01-30																																																																																													Tylenchus agricola								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Tylenchus		agricola									
163987202																																																											UGENT	nematodes			PreservedSpecimen					100021																															1981-12-15																						BRAZIL					Km 45 Rodovia Manaus-Boas Vista, AM																																																																		Cucullitylenchus amazonensis								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Cucullitylenchus		amazonensis									
163987218																																																											UGENT	nematodes			PreservedSpecimen					100069																																																																																																																												Drilocephalobus coomansi								Animalia	Nemata	Chromadorea	Rhabditida	Cephalobidae	Drilocephalobus		coomansi									
163987233																																																											UGENT	nematodes			PreservedSpecimen					100145																																																																																																														holotype: m ,														Desmoscolex deconincki								Animalia	Nemata	Chromadorea	Desmoscolecida	Desmoscolecidae	Desmoscolex		deconincki									
163987248																																																											UGENT	nematodes			PreservedSpecimen					100207																																																																																																																												Desmolorenzenia cooleni								Animalia	Nemata	Chromadorea	Desmoscolecida	Desmoscolecidae	Desmolorenzenia		cooleni									
163987330																																																											UGENT	nematodes			PreservedSpecimen					100639																																																																																																														paratype: f ,														Acantholaimus microdontus								Animalia	Nemata	Chromadorea	Chromadorida	Chromadoridae	Acantholaimus		microdontus									
163987333																																																											UGENT	nematodes			PreservedSpecimen					100642																															1981-09-02																						POLAND					Sniadkow																																																				paratype: 4 f ,														Ditylenchus exilis								Animalia	Nemata	Chromadorea	Rhabditida	Anguinidae	Ditylenchus		exilis									
163987640																																																											UGENT	nematodes			PreservedSpecimen					100869																															1972-07-26																						UNITED STATES					Rugby North Dakota Native Sod																																																																		Aglenchus dakotensis								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Aglenchus		dakotensis									
163987667																																																											UGENT	nematodes			PreservedSpecimen					100950																																																					NAMIBIA					Langstrand Bay of Cuspi																																																																		Chromadoropsis namibiensis Furstenberg & Vincx, 0								Animalia	Nemata	Chromadorea	Desmodorida	Desmodoridae	Chromadoropsis		namibiensis				Furstenberg & Vincx, 0					
163987675																																																											UGENT	nematodes			PreservedSpecimen					100953																															1987-07-19																																																																															holotype: m ,														Africanema interstitialis Vincx & Furstenberg, 0								Animalia	Nemata	Enoplea	Enoplida	Tripyloididae	Africanema		interstitialis				Vincx & Furstenberg, 0					
163987755																																																											UGENT	nematodes			PreservedSpecimen					101069																															1961-09-06																																																																																													Discolaimus major								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae	Discolaimus		major									
163987770																																																											UGENT	nematodes			PreservedSpecimen					101101																																																																																																																												Eudorylaimus obtusicaudatus								Animalia	Nemata	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus		obtusicaudatus									
163987775																																																											UGENT	nematodes			PreservedSpecimen					101122																																																																																																																												Criconemoides lobatum								Animalia	Nemata	Chromadorea	Rhabditida	Criconematidae	Criconemoides		lobatum									
163987812																																																											UGENT	nematodes			PreservedSpecimen					101187																															1961-11-21																																																																																													Anatonchus tridentatus								Animalia	Nemata	Enoplea	Mononchida	Anatonchidae	Anatonchus		tridentatus									
163987831																																																											UGENT	nematodes			PreservedSpecimen					101217																																																																																																																												Boleodorus thylactus								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Boleodorus		thylactus									
163987840																																																											UGENT	nematodes			PreservedSpecimen					101224																																																																																																																												Eudorylaimus monohystera								Animalia	Nemata	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus		monohystera									
163987903																																																											UGENT	nematodes			PreservedSpecimen					101354																															1962-06-14																																																																																													Dorylaimellus virginianus								Animalia	Nemata	Enoplea	Dorylaimida	Belondiridae	Dorylaimellus		virginianus									
