"Abbrev","Slide-nbr","Genus","species","Author","Year","Synoniems","Phylum","Classis","Subclassis","Ordo","Subordo","Infraordo","Superfamilia","Familia","Subfamilia","Old number","nbr of specimens of main/typecies","Total nbr of specimens in slide","Holotype","Allotype","Paratypes","Other types","Others","Type locality","Locality","Country","Date","Article","Reference","Specifications","Other species","Determination","Cobb-slide","Glass-slide","Present","Absent","Sent in loan to","Loandoucment","Controle"
"UGMD",100243,"Morulaimus","simplex",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 243",,"4",,,"2 f",,FALSE,"Soil, Eucalyptus, 6 Mile CK. Wentworth NSW",,"Australia",,"Repr-",,"2 male",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100244,"Xiphidorus","tucumanensis",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Dorylaimoidea","Longidoridae",,"ZIRUG 244",,"3","f",,"m",,FALSE,"Soil around potato Verde Tucuman",,"Argentina",,"Repr-",,"n.sp.",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100245,"Xiphidorus","saladillensis",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Dorylaimoidea","Longidoridae",,"ZIRUG 245",,,,,,,FALSE,,,,,"Repr-",,"hol.; Kruger 19/12/88; Al 11/4/81",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100246,"Xiphidorus","saladillensis",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Dorylaimoidea","Longidoridae",,"ZIRUG 246",,,,,,,FALSE,,,,,"Repr-",,"Frieda 14/9/90",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100247,,,,0,,,,,,,,,,,,,,,,,,FALSE,,,,,"Repr-",,"Frieda 14/9/90",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100248,,,,0,,,,,,,,,,,,,,,,,,FALSE,,,,,"Repr-",,"Frieda 14/9/90",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100249,"Helicotylenchus","coomansi",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 249",,"2","m",,"f",,FALSE,"Grond Iris Deil",,,,"Repr-",,"9/68; N° 5712",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100250,"Helicotylenchus","sandersae",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 250",,"2","f",,"m",,FALSE,"grond Gardenapas",,"Italy",,"Repr-",,"9/68; N°5745",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100251,"Helicotylenchus","sandersae",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 251",,,,,,,FALSE,,,,,"Repr-",,,,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100252,"Helicotylenchus","sandersae",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 252",,,,,,,FALSE,,,,,"Repr-",,,,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100253,"Anquina","calamagrostis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Sphaerularioidea","Anguinidae",,"ZIRUG 253",,"7",,,,,FALSE,,"Host. Long grass; Loc. Ramsay Lake",,,"Repr-",,"3 male, 4 female; 9?/65; Coll. Y.Wu Cn° 7397; Canadian National Collection Nematodes Tylenchidae-Tylenchinae-Anquina",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100254,"Nothanguina","phyllobia",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Sphaerularioidea","Anguinidae",,"ZIRUG 254",,"10",,,,,FALSE,,"Host.Solanum elacaqnifolium, Loc. Lubbock, Texas","USA","1979-03-26 00:00:00","Repr-",,"10 female; coll. Calvin Orr C n°7397; Canadian National Collection Nematodes, bij Anderson",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100255,"Paranguina","picridis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Sphaerularioidea","Anguinidae",,"ZIRUG 255",,"7",,,,,FALSE,,"Sask",,,"Repr-",,"1 male, 6 female; C. pretensis; 10/1974; Coll. AK Watson, C n° 6771-2A; Canadian National Collection Nematodes",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100256,"Ditylenchus","dryadis",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Sphaerularioidea","Anguinidae",,"ZIRUG 256",,"6",,,,,FALSE,,"Host. D. integrifolia, L Haren NWT",,,"Repr-",,"3 male, 3 female; 7/1962; Coll. RH MulveyC n° 3074; By Anderson Mulvey, Canadian National Collection Nematodes (Coomans)",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100257,"Helicotylenchus","crassatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 257",,"1",,,,,FALSE,,"Host: Clover; Nouvelle PQ",,,"Repr-",,"1 female; 3/6/1957?; Coll. GL Brown C n° 1130; Canadian National Collection Nematodes",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100258,"Helicotylenchus","amplius",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Hoplolaimidae",,"ZIRUG 258",,,,,"4/-/1 (4female, 1 juvenile)",,FALSE,"Ramsey L Que","Host: Grass soil",,"1980-05-28 00:00:00","Repr-",,"Coll: C Granger, mounted with glycerine, C. No 7591, Soort beschreven in 1982",,"Andersson & Eveleigh",TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100259,"Merlinius","viciae",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 259",,"5",,,,,TRUE,,"Firuzkoy, Bakla, Vicia faba","Turkey","1972-04-16 00:00:00","Repr-",,"n.sp. male, female; Yven 1964","Helicotylenchus vulgaris 3 female",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100260,"Merlinius","viciae",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Belonolaimidae",,"ZIRUG 260",,"3",,,,,FALSE,,"Firuzkoy, Bakla, Vicia faba","Turkey","1972-04-16 00:00:00","Repr-",,"n.sp.3 male; Degrisse",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100261,"Ottolenchus","cabi",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 261",,"2",,,"1 m, 1 f",,FALSE,"Lichenclaudoria glauca",,"Eire",,"Repr-",,"6/81",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100262,"Ottolenchus","cabi",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Tylenchomorpha","Tylenchoidea","Tylenchidae",,"ZIRUG 262",,"1",,,"f",,FALSE,"Lichenclaudoria glauca",,"Eire",,"Repr-",,"6/81",,,FALSE,TRUE,TRUE,FALSE,,"U-",
"UGMD",100263,"Xiphinema","balcanceanus",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Dorylaimoidea","Longidoridae",,"ZIRUG  263",,"2",,,"2 f",,FALSE,"Balcance",,"Argentina","1978-01-23 00:00:00","Repr-",,"E. Chaves",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100264,"Aphanolaimus","pseudoattentus",,0,,"Nematoda","Chromadorea","Chromadoria","Plectida",,,"Leptolaimoidea","Leptolaimidae",,"ZIRUG 264",,"2","f",,,,FALSE,"Assent, rhizosfeer grassen op braakliggend terrein",,"Belgium","1980-04-15 00:00:00","Repr-",,"1 juv.; Survey, DW 133G; Coll. De Waele",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100265,"Aphanolaimus","pseudoattentus",,0,,"Nematoda","Chromadorea","Chromadoria","Plectida",,,"Leptolaimoidea","Leptolaimidae",,"ZIRUG 265",,"3",,,"2 f, 1 juv",,FALSE,"Assent, rhizosfeer grassen op braakliggend terrein",,"Belgium","1980-04-15 00:00:00","Repr-",,"n.sp. 1 juv.; Survey, DW 133G; Coll. De Waele",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100266,"Aphanolaimus","deconincki",,0,,"Nematoda","Chromadorea","Chromadoria","Plectida",,,"Leptolaimoidea","Leptolaimidae",,"ZIRUG 266",,"1","f",,,,FALSE,"Bikschote",,"Belgium","1978-06-12 00:00:00","Repr-",,"rhizosfeer border grasses survey DW409; Coll. De Waele",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100267,"Aphanolaimus","deconincki",,0,,"Nematoda","Chromadorea","Chromadoria","Plectida",,,"Leptolaimoidea","Leptolaimidae",,"ZIRUG 267",,"1",,,"f",,FALSE,"Bikschote",,"Belgium","1978-06-12 00:00:00","Repr-",,"n.sp. rhizosfeer border grasses survey DW409; Coll. De Waele",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100268,"Aphanolaimus","deconincki",,0,,"Nematoda","Chromadorea","Chromadoria","Plectida",,,"Leptolaimoidea","Leptolaimidae",,"ZIRUG 268",,"1",,,"m",,FALSE,"Bikschote",,"Belgium","1978-06-12 00:00:00","Repr-",,"rhizosfeer border grasses survey DW409; Coll. De Waele",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100269,"Trichodorus","orientalis",,0,,"Nematoda","Enoplea","Enoplia","Triplonchida","Diphterophorina",,"Diphterophoroidea","Trichodoridae",,"ZIRUG 269",,,,,,,FALSE,,,,,"Repr-",,"Frieda 17/12/95",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100270,"Trichodorus","orientalis",,0,,"Nematoda","Enoplea","Enoplia","Triplonchida","Diphterophorina",,"Diphterophoroidea","Trichodoridae",,"ZIRUG 270",,,,,,,FALSE,,,,,"Repr-",,"Frieda 17/12/85",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100271,"Trichodorus","orientalis",,0,,"Nematoda","Enoplea","Enoplia","Triplonchida","Diphterophorina",,"Diphterophoroidea","Trichodoridae",,"ZIRUG 271",,,,,,,FALSE,,,,,"Repr-",,"Frieda",,,FALSE,FALSE,FALSE,TRUE,,"U-",
"UGMD",100272,"Trichodorus","orientalis",,0,,"Nematoda","Enoplea","Enoplia","Triplonchida","Diphterophorina",,"Diphterophoroidea","Trichodoridae",,"ZIRUG 272",,,,,,,FALSE,,,,,"Repr-",,"Frieda",,,FALSE,FALSE,FALSE,TRUE,,"U-",
