gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
163987658																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100946																														1986-08-17T00:00Z				1986	8	17																																																																														Eontolaimus capensis Furstenberg & Vincx, 1988								Animalia	Nematoda	Adenophorea	Araeolaimida	Camacolaimidae	Listia		capensis		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4347084	1	5967481	251	978	4281984	3249147		7020413	Listia capensis	Eontolaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987678																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100954																														1986-08-17T00:00Z				1986	8	17																																																																														Africanema interstitialis Vincx & Furstenberg, 1988								Animalia	Nematoda	Adenophorea	Enoplida	Trefusiidae	Africanema		interstitialis		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4349432	1	5967481	251	976	2573	4349431		4349432	Africanema interstitialis	Africanema		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987817																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101204																														1961-11-29T00:00Z				1961	11	29																																																																														Anatonchus tridentatus (de Man, 1876)								Animalia	Nematoda	Adenophorea	Dorylaimida	Anatonchidae	Anatonchus		tridentatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	2282578	1	5967481	251	446	6509	2282576		2282578	Anatonchus tridentatus	Anatonchus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987866																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101280																														1962-01-19T00:00Z				1962	1	19																																																																														Anatonchus tridentatus (de Man, 1876)								Animalia	Nematoda	Adenophorea	Dorylaimida	Anatonchidae	Anatonchus		tridentatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	2282578	1	5967481	251	446	6509	2282576		2282578	Anatonchus tridentatus	Anatonchus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987929																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101428																																																																																																																		Aphelenchoides parietinus (Bastian, 1865) Steiner, 1932								Animalia	Nematoda	Secernentea	Aphelenchida	Aphelenchoididae	Aphelenchoides		parietinus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4559471	1	5967481	250	443	2566	2284354		4559471	Aphelenchoides parietinus	Aphelenchoides		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987943																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101443																														1962-02-07T00:00Z				1962	2	7																																																																														Aprocelaimus								Animalia	Nematoda	Adenophorea	Dorylaimida	Aporcelaimidae	Aprocelaimus				GENUS							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	7357552	1	5967481	251	446	5986	7357552				Aprocelaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987953																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101462																																																																																																																		Eudorylaimus monohystera (de Man, 1880) Andrássy, 1959								Animalia	Nematoda	Adenophorea	Dorylaimida	Dorylaimidae	Dorylaimus		monohystera		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	6484826	1	5967481	251	446	2592	2282620		4554861	Dorylaimus monohystera	Eudorylaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163988061																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101703																														1962-05-16T00:00Z				1962	5	16																																																																														Aprocelaimus								Animalia	Nematoda	Adenophorea	Dorylaimida	Aporcelaimidae	Aprocelaimus				GENUS							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	7357552	1	5967481	251	446	5986	7357552				Aprocelaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163989112																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100004																																																																																																																		Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989								Animalia	Nematoda			Metacrobelidae	Metacrobeles		tessellatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	7023542	1	5967481			6880755	4631070		7023542	Metacrobeles tessellatus	Metacrobeles		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163989117																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100041																														1973-11-20T00:00Z				1973	11	20																KR				Broadleaf Lilac, Kerong Mt																																																										Meloinema kerongense Choi & Geraert, 1974								Animalia	Nematoda	Secernentea	Rhabditida	Meloidogynidae	Meloinema		kerongense		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7024756	1	5967481	250	440	4556279	4630768		7024756	Meloinema kerongense	Meloinema		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	false
