institutionCode;ownerInstitutionCode;rightsHolder;type;collectionCode;datasetName;basisOfRecord;license;day;month;year;occurrenceID;Acronym;catalogNumber;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;scientificName;identificationRemarks;otherCatalogNumbers;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;namePublishedIn;disposition;language
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104023;UGMD;104023;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4023;7;  Paratype ;1 juvenile J2;Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104024;UGMD;104024;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4024;10;  Paratype ;1 juvenile J3  ;Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104025;UGMD;104025;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4025;7;  Paratype ;1 juvenile J4 ;Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104026;UGMD;104026;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;5722275;SPECIES;Animalia;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4026;8;  Paratype ;1 male;cold-water coral reef in the Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104027;UGMD;104027;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;5722275;SPECIES;Animalia;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4027;3; Allotype | Paratype ;1 male, 1 female,1 juvenile  J4,;;;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104028;UGMD;104028;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;5722275;SPECIES;Animalia;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4028;10;  Paratype ;1 juvenile J2, 1 female;cold-water coral reef in the Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104029;UGMD;104029;;Raes, Decraemer & Vanreusel;;;;Tenuidraconema parvospermis;collection and data is currently is under review;MDNC4029;10;  Paratype ;1 female;;;only georeferenced to country level;;;;"Raes,Decraemer & Vanreusel, xxxx.  Draconematidae  (Nematoda) from cold-water corals in the Porcupine Seabight; the genus Tenuidraconema Decraemer, 1989.  xxxxx, - .";missing;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104030;UGMD;104030;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;5722275;SPECIES;Animalia;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4030;10;  Paratype ;1 juvenile J4 ;cold-water coral reef in the Porcupine Seabight;Ireland;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104031;UGMD;104031;;Raes et;;;;Bathypsilonema lopheliae;collection and data is currently is under review;MDNC4031;10;  Paratype ;2 males;;;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104032;UGMD;104032;;Raes et;;;;Bathyeypsilonema lopheliae;collection and data is currently is under review;MDNC4032;11; Allotype | Paratype ;2 females;;;only georeferenced to country level;;;;;in collection;EN
