eventID;decimalLatitude;decimalLongitude;year;language;license;rightsHolder;accesRights;datasetID;institutionCode;datasetName;ownerInstitutionCode
AFE126;0.48333333;30.26666667;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE127;0.46666667;30.28333333;1971;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE128;0.45;30.28333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE129;-0.15;30.13333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE130;-0.25;30.11666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE131;-0.26666667;30.08333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE132;-0.31666667;30.1;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE133;-0.9;30.13333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE134;-2.25;30.13333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE135;-2.4;30.31666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE136;-2.13333333;30.95;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE137;-1.46666667;31.5;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE138;-1.73333333;30.76666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE139;-0.36666667;31.9;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE140;-2.18333333;30.21666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE141;-1.21666667;29.66666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE142;-1.21666667;29.71666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE143;-1.33333333;29.78333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE144;-1.35;29.78333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE145;-1.45;29.76666667;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE146;-1.5;29.75;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE147;-8.65;30.13333333;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE148;-9.16666667;28.78333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE149;-8.45;28.41666667;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE150;-9.05;33.65;1969;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE151;-1.71666667;38.18333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE171;0.08333333;36.1;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE176;11.48333333;41.55;1972;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE177;11.48333333;41.55;1972;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE184;12.66666667;37;1971;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE185;12.66666667;37;1971;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE186;12.66666667;37;1971;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE187;7.85;38.7;1971;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN054;34;-6;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN056;34;-6;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN057;34;-6;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN061;33.08333333;-5;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN063;32.96666667;-5.45;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN064;32.96666667;-5.45;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFN070;30.93333333;-7.2;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI001;46.26449966;8.51229954;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI002;46.46839905;8.55480003;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI003;46.00419998;8.07900047;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI004;46.20280075;8.45810032;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI005;46.1556015;8.1633997;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI006;46.55780029;8.6906004;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI007;46.4435997;8.45339966;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI008;46.46340179;8.5564003;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI009;46.46450043;8.72229958;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI010;46.47679901;8.5855999;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI011;46.43999863;8.48289967;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI012;46.18170166;8.4932003;1989;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI013;46.18119812;8.48989964;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI014;46.31029892;8.24090004;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI015;46.44720078;8.54170036;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI016;46.17060089;8.1906004;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI017;46.17399979;8.19169998;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI018;46.47430038;8.55669975;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI019;46.17760086;8.1906004;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI020;46.17810059;8.21510029;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI021;46.18180084;8.21090031;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI022;46.75030136;10.71759987;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI023;46.22729874;11.08360004;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI024;46.43230057;8.69079971;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI025;46.16590118;8.1541996;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI026;46.74840164;10.64780045;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI027;46.74720001;10.45639992;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI028;46.74860001;11.50590038;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI029;46.92900085;11.16390038;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI030;46.26390076;8.49639988;1990;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPI031;46.00839996;8.08889961;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS005;42.48559952;1.73280001;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS006;42.48419952;1.7356;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS007;42.4858017;1.73720002;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS011;42.45809937;1.59640002;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS016;42.65810013;1.39189994;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS017;42.65219879;1.38499999;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS018;42.71689987;1.33360004;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS019;42.71279907;1.33329999;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS020;42.71060181;1.34140003;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS021;42.71720123;1.32560003;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS022;42.7118988;1.32309997;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS023;42.72219849;1.32529998;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ALPS027;42.54359818;1.03059995;1992;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
