institutionCode,Acronym,Catalogue number,occurrenceID,genus,scientificName,scientificNameAuthorship,kingdom,scientificName_recon,identificationRemarks,Year,class,Subclassis,Order,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,geoReferenceRemarks,decimalLatitude,decimalLongitude,eventDate,Reference,disposition,Phylum
Ugent,UGMD,102658,UgentUGMD102658,Naccobus,,,,Naccobus aberrans,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2658,1,,,,,only georeferenced to country level,,,,,missing,Nematoda
Ugent,UGMD,102659,UgentUGMD102659,Naccobus,,,,Naccobus aberrans,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2659,3,,,,,only georeferenced to country level,,,1977-12-27T23:00:00Z,,missing,Nematoda
Ugent,UGMD,102660,UgentUGMD102660,Naccobus,,,,Naccobus aberrans,collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2660,1,,,,,only georeferenced to country level,,,,,missing,Nematoda
Ugent,UGMD,102661,UgentUGMD102661,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2661,6,,,36 Yangambi op Phaseolus  aurey ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102662,UgentUGMD102662,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2662,3,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102663,UgentUGMD102663,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2663,8,,,Yangambi on Vinea sinensis ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102664,UgentUGMD102664,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2664,8,,,Yangambi on Vinea sinensis ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102665,UgentUGMD102665,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2665,5,,,Bambesa 18 on Gossypium sp. ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102666,UgentUGMD102666,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2666,6,,,Bambesa 18 on Chrysanthenum demersum 2 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102667,UgentUGMD102667,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2667,6,,,Bambesa 18 on Chrysanthenum demersum 2 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
